title,aggregationType,subject_area_abbrevs,subject_area_names,SNIP,SJR,publicationCount_2022,citeCountSCE_2022,zeroCitesSCE_2022,revPercent_2022,publicationCount_2023,citeCountSCE_2023,zeroCitesSCE_2023,revPercent_2023,publicationCount_2024,citeCountSCE_2024,zeroCitesSCE_2024,revPercent_2024,publisher,citeScoreTracker_2024,citeScoreCurrentMetric_2023
ROBOMECH Journal,journal,ENGI;PHYS;MATH;COMP,Modeling and Simulation;Artificial Intelligence;Mechanical Engineering;Instrumentation;Control and Optimization,0.703,0.385,24,497,4,4.17,30,590,14,3.33,16,430,14,0.0,Springer International Publishing AG,2.8,3.2
RSC Nanoscience and Nanotechnology,bookseries,CENG;PHYS;MATE;CHEM;ENGI,"Bioengineering;Engineering (all);Atomic and Molecular Physics, and Optics;Materials Science (all);Chemistry (all)",0.024,0.121,37,161,19,0.0,0,142,0,0.0,0,93,0,0.0,Royal Society of Chemistry,1.5,1.1
Radio Journal,journal,ARTS;ENGI;SOCI,Media Technology;Cultural Studies;Visual Arts and Performing Arts;Communication,1.001,0.315,16,148,9,12.5,15,211,11,0.0,7,157,7,0.0,Intellect Ltd.,1.4,1.5
Radio Physics and Radio Astronomy,journal,PHYS;ENGI;EART,Astronomy and Astrophysics;Physics and Astronomy (miscellaneous);Space and Planetary Science;Electrical and Electronic Engineering,0.588,0.211,28,18,22,0.0,22,16,19,0.0,20,25,20,0.0,Institute of Radio Astronomy of the National Academy of Sciences of Ukraine,0.6,0.6
Radio Science,journal,PHYS;ENGI;EART,Electrical and Electronic Engineering;Earth and Planetary Sciences (all);Condensed Matter Physics,0.796,0.468,106,6491,16,0.0,79,5667,22,2.53,70,4658,61,2.86,Wiley-Blackwell,3.2,3.3
Radioelectronic and Computer Systems,journal,ENGI;COMP,Software;Computer Graphics and Computer-Aided Design;Computer Networks and Communications;Hardware and Architecture;Electrical and Electronic Engineering;Information Systems,0.713,0.281,62,170,25,0.0,66,266,37,0.0,35,182,30,2.86,National Aerospace University Kharkiv Aviation Institute,3.6,3.6
Radioelectronics and Communications Systems,journal,ENGI,Electrical and Electronic Engineering,0.37,0.162,59,409,42,1.69,42,322,38,0.0,0,187,0,0.0,Allerton Press Inc.,1.6,2.1
Radioengineering,journal,ENGI,Electrical and Electronic Engineering,0.455,0.249,62,1803,21,0.0,72,1519,40,0.0,37,1095,35,0.0,Czech Technical University,1.6,2.0
Radiophysics and Quantum Electronics,journal,PHYS;ENGI;MATE,"Statistical and Nonlinear Physics;Electronic, Optical and Magnetic Materials;Electrical and Electronic Engineering;Astronomy and Astrophysics;Nuclear and High Energy Physics",0.361,0.218,67,975,40,0.0,96,894,70,0.0,10,719,10,0.0,Springer New York,1.1,1.1
Radioprotection,journal,MEDI;ENGI;ENVI;ENER,"Public Health, Environmental and Occupational Health;Renewable Energy, Sustainability and the Environment;Health, Toxicology and Mutagenesis;Waste Management and Disposal;Nuclear Energy and Engineering;Safety, Risk, Reliability and Quality",0.621,0.295,41,409,14,4.88,42,405,32,0.0,34,338,33,0.0,EDP Sciences,2.4,3.3
Radwaste Solutions,journal,ENGI;ENVI;ENER,"Nuclear Energy and Engineering;Waste Management and Disposal;Safety, Risk, Reliability and Quality",0,0.102,17,8,16,0.0,0,3,0,0.0,33,5,33,0.0,American Nuclear Society,0.1,0.1
Railway Engineering Science,journal,ENGI;SOCI;COMP,Transportation;Mechanical Engineering;Electrical and Electronic Engineering;Computer Science Applications;Computational Mechanics,3.128,1.563,28,1147,1,14.29,36,1306,3,8.33,35,1362,23,0.0,Springer,8.3,10.8
Rakenteiden Mekaniikka,journal,ENGI,Mechanical Engineering;Mechanics of Materials,0.336,0.136,10,11,7,0.0,18,11,17,0.0,7,12,6,0.0,Aalto-yliopisto - Rakennustekniikan laitos,0.4,0.5
Rapid Prototyping Journal,journal,ENGI,Mechanical Engineering;Industrial and Manufacturing Engineering,1.06,0.733,162,9289,7,7.41,161,9196,17,6.83,190,8254,131,7.89,Emerald Group Publishing Ltd.,7.0,8.3
Real-Time Systems,journal,ENGI;MATH;COMP,Modeling and Simulation;Control and Systems Engineering;Computer Networks and Communications;Electrical and Electronic Engineering;Computer Science Applications;Control and Optimization,0.969,0.420,19,1005,7,0.0,22,823,10,0.0,19,509,18,0.0,Springer Netherlands,2.4,2.9
Recent Advances in Drug Delivery and Formulation,journal,ENGI;PHAR,Biomedical Engineering;Pharmaceutical Science,0.443,0.276,23,756,7,34.78,24,734,8,29.17,22,632,20,40.91,Bentham Science Publishers,1.6,2.4
Recent Advances in Electrical and Electronic Engineering,journal,ENGI;MATE,"Electronic, Optical and Magnetic Materials;Electrical and Electronic Engineering",0.292,0.183,60,245,33,11.67,79,296,41,8.86,88,272,70,13.64,Bentham Science Publishers,1.6,1.7
Recent Patents on Engineering,journal,ENGI,Engineering (all),0.254,0.182,59,387,25,47.46,57,421,25,64.91,111,386,87,50.45,Bentham Science Publishers,1.4,1.4
Recent Patents on Mechanical Engineering,journal,ENGI,Mechanical Engineering,0.212,0.164,45,134,28,17.78,33,159,18,15.15,32,173,27,0.0,Bentham Science Publishers,1.0,0.8
Recent Patents on Nanotechnology,journal,PHYS;ENGI;MATE,Engineering (all);Materials Science (all);Condensed Matter Physics,0.524,0.364,26,637,5,46.15,33,758,7,30.3,37,653,18,45.95,Bentham Science Publishers,3.8,4.7
Regenerative Biomaterials,journal,ENGI;MATE,Biomaterials;Biomedical Engineering,0.81,0.986,90,1972,3,12.22,120,2322,5,17.5,141,2810,90,10.64,Oxford University Press,8.9,7.9
Regenerative Engineering and Translational Medicine,journal,BIOC;ENGI;MEDI;MATE,Biomaterials;Cell Biology;Medicine (miscellaneous);Biomedical Engineering,0.513,0.487,55,521,11,29.09,44,616,17,50.0,58,634,39,48.28,Springer International Publishing AG,4.9,4.9
Regenerative Medicine,journal,ENGI;MEDI,Biomedical Engineering;Embryology,0.519,0.517,81,2719,27,30.86,67,2478,25,38.81,45,1958,37,22.22,Taylor and Francis Ltd.,3.5,4.2
Regenerative Therapy,journal,ENGI;BIOC;MATE,Biomedical Engineering;Developmental Biology;Biomaterials,0.759,0.775,108,1306,11,12.04,109,1571,19,15.6,191,1707,132,22.51,Japanese Society of Regenerative Medicine,4.6,6.0
Regular and Chaotic Dynamics,journal,ENGI;PHYS;MATH,Mathematics (miscellaneous);Modeling and Simulation;Statistical and Nonlinear Physics;Mechanical Engineering;Mathematical Physics;Applied Mathematics,0.738,0.384,44,762,19,0.0,50,764,35,0.0,40,579,37,0.0,Pleiades Publishing,1.8,2.5
Reliability Engineering and System Safety,journal,ENGI,"Industrial and Manufacturing Engineering;Safety, Risk, Reliability and Quality",2.367,2.028,580,27548,6,0.34,664,31430,22,1.2,770,35141,266,1.17,Elsevier Ltd,17.6,15.2
Reliability: Theory and Applications,journal,DECI;ENGI;SOCI,"Statistics, Probability and Uncertainty;Safety Research;Safety, Risk, Reliability and Quality",0.499,0.205,236,110,150,0.42,333,262,274,0.3,175,309,163,1.14,Gnedenko Forum,0.9,0.8
Remote Sensing Letters,journal,ENGI;EART,Electrical and Electronic Engineering;Earth and Planetary Sciences (miscellaneous),0.598,0.458,120,3407,13,0.0,129,3091,50,0.78,106,2639,88,0.0,Taylor and Francis Ltd.,2.9,4.1
Reneng Dongli Gongcheng/Journal of Engineering for Thermal Energy and Power,journal,PHYS;ENGI,Mechanical Engineering;Condensed Matter Physics,0.292,0.164,294,734,173,1.36,221,756,168,0.9,24,641,22,0.0,Harbin Research Institute,0.8,0.8
Renewable Energy,journal,ENGI;ENER,"Renewable Energy, Sustainability and the Environment;Engineering (all)",1.934,1.923,2031,115794,23,1.18,1544,125168,84,1.04,1945,123178,953,1.23,Elsevier Ltd,16.6,18.4
Renewable Energy and Power Quality Journal,journal,ENGI;ENER,"Renewable Energy, Sustainability and the Environment;Energy Engineering and Power Technology;Electrical and Electronic Engineering",0.163,0.152,147,813,81,0.0,122,773,85,0.0,133,658,133,0.0,"European Association for the Development of Renewable Energy, Environment and Power Quality (EA4EPQ)",0.7,0.7
Reports in Mechanical Engineering,journal,ENGI,Mechanical Engineering,2.468,1.417,20,533,2,0.0,23,698,4,8.7,2,453,2,0.0,Reports in Mechanical Engineering,20.4,17.8
Research Journal of Textile and Apparel,journal,BUSI;ENGI;MATE,Management of Technology and Innovation;Industrial and Manufacturing Engineering;Materials Science (miscellaneous);Business and International Management,0.773,0.305,38,639,5,2.63,83,718,26,10.84,65,840,41,9.23,Emerald Group Publishing Ltd.,3.5,2.9
Research Report ARR,journal,ENGI;SOCI,Transportation;Civil and Structural Engineering,0,0.104,8,9,8,12.5,0,9,0,0.0,0,6,0,0.0,ARRB Transport Research Ltd.,0.0,0.0
Research Technology Management,journal,BUSI;ENGI,Engineering (all);Management of Technology and Innovation;Strategy and Management,0.949,0.631,53,2390,25,0.0,61,2406,35,0.0,67,2228,61,0.0,Taylor and Francis Ltd.,2.5,3.9
Research and Practice in Technology Enhanced Learning,journal,PSYC;BUSI;ENGI;SOCI,Education;Media Technology;Management of Technology and Innovation;Social Psychology,1.981,0.919,28,836,0,7.14,40,1157,12,0.0,34,1152,10,0.0,Asia-Pacific Society for Computers in Education,6.9,7.1
"Research in Engineering Design - Theory, Applications, and Concurrent Engineering",journal,ENGI,Architecture;Mechanical Engineering;Industrial and Manufacturing Engineering;Civil and Structural Engineering,1.617,0.649,23,1799,2,0.0,22,1622,3,4.55,21,1237,13,14.29,Springer London,4.9,7.8
Research in Nondestructive Evaluation,journal,PHYS;ENGI;MATE,Mechanics of Materials;Materials Science (all);Condensed Matter Physics;Mechanical Engineering,0.62,0.343,19,539,7,0.0,15,530,2,0.0,20,480,11,0.0,Taylor and Francis Ltd.,2.0,2.3
Research on Biomedical Engineering,journal,ENGI,Biomedical Engineering,0.472,0.328,83,623,23,15.66,78,679,33,7.69,56,618,41,12.5,Sociedade Brasileira de Engenharia Biomedica,3.5,3.3
Research on Engineering Structures and Materials,journal,ENGI,Mechanical Engineering;Engineering (miscellaneous);Mechanics of Materials;Civil and Structural Engineering,0.645,0.262,51,110,13,9.8,90,203,52,6.67,67,264,53,7.46,MIM RESEARCH GROUP,1.8,1.6
Reseaux,journal,ENGI;SOCI,Electrical and Electronic Engineering;Communication,0.64,0.246,45,467,31,2.22,35,350,29,14.29,24,320,24,16.67,Lavoisier,0.7,0.7
Resilient Cities and Structures,journal,ENGI,Civil and Structural Engineering,1.523,0.969,23,4,0,0.0,30,110,4,0.0,28,251,14,7.14,Elsevier B.V.,5.4,3.2
Resource: Engineering and Technology for Sustainable World,tradejournal,BIOC;ENGI;AGRI,Agricultural and Biological Sciences (all);Engineering (all);Biotechnology,0.023,0.112,46,64,40,0.0,11,57,11,0.0,22,48,21,0.0,American Society of Agricultural and Biological Engineers,0.3,0.4
Restaurator,journal,ARTS;ENGI;MATE,Conservation;Media Technology;Materials Science (all),0.669,0.220,14,380,7,21.43,18,487,16,0.0,14,248,14,7.14,De Gruyter Saur,1.2,1.0
Results in Control and Optimization,journal,ENGI;MATH;COMP,Modeling and Simulation;Artificial Intelligence;Applied Mathematics;Control and Systems Engineering;Control and Optimization,1.252,0.610,60,129,4,0.0,138,524,28,0.0,147,1010,73,0.0,Elsevier B.V.,4.4,3.0
Results in Engineering,journal,ENGI,Engineering (all),1.55,0.794,472,1507,29,4.87,858,4767,100,5.01,1541,11016,947,7.14,Elsevier B.V.,7.0,5.8
Review of Computer Engineering Research,journal,ENGI;COMP,Computer Science Applications;Hardware and Architecture;Electrical and Electronic Engineering,0.357,0.186,18,41,3,0.0,15,57,9,6.67,5,62,5,0.0,Conscientia Beam,2.7,1.9
Revista 180,journal,ARTS;ENGI;SOCI,Architecture;Visual Arts and Performing Arts;Urban Studies,0.966,0.206,19,44,15,0.0,29,56,28,0.0,9,44,9,0.0,Universidad Diego Portales,0.1,0.6
Revista Cientifica General Jose Maria Cordova,journal,ENGI;SOCI,"Political Science and International Relations;Public Administration;Law;Safety Research;Social Sciences (miscellaneous);Sociology and Political Science;Safety, Risk, Reliability and Quality",0.644,0.356,57,53,25,0.0,51,120,42,0.0,25,113,25,0.0,Escuela Militar de Cadetes,1.3,1.1
Revista Facultad de Ingenieria,journal,ENGI,Engineering (all),0.319,0.227,56,483,26,0.0,35,457,28,2.86,38,354,31,0.0,Universidad de Antioquia,1.5,2.0
Revista INVI,journal,ENGI;SOCI,Architecture;Urban Studies,1.068,0.374,35,281,17,0.0,34,322,21,0.0,12,317,11,0.0,Universidad de Chile,1.6,1.4
Revista Iberoamericana de Tecnologias del Aprendizaje,journal,ENGI;SOCI,Education;Engineering (all),0.593,0.393,44,548,5,6.82,47,520,24,2.13,29,485,27,0.0,IEEE Education Society,3.8,4.3
Revista Ingenieria de Construccion,journal,ENGI,Building and Construction;Civil and Structural Engineering,0.404,0.174,36,263,22,2.78,48,241,42,0.0,18,196,18,0.0,Pontificia Universidad Catolica de Chile ,1.0,1.2
Revista Internacional de Metodos Numericos para Calculo y Diseno en Ingenieria,journal,ENGI;MATH,Engineering (all);Applied Mathematics,0.225,0.142,41,158,22,0.0,47,132,45,0.0,39,147,38,0.0,Scipedia S.L.,0.5,0.7
Revista Latinoamericana de Metalurgia y Materiales,journal,ENGI;MATE,Materials Science (all);Industrial and Manufacturing Engineering,0.057,0.105,8,72,7,0.0,4,66,4,0.0,0,55,0,0.0,Universidad Simon Bolivar,0.0,0.2
Revista Mexicana de Ingenieria Biomedica,journal,ENGI,Biomedical Engineering,0.124,0.135,15,78,5,6.67,21,84,16,14.29,15,105,15,26.67,Sociedad Mexicana de Ingenieria Biomedica,0.7,0.6
Revista Politecnica,journal,MATH;ENVI;PHYS;CHEM;ENGI;EART,Physics and Astronomy (miscellaneous);Engineering (all);Chemistry (miscellaneous);Environmental Engineering;Geotechnical Engineering and Engineering Geology;Geochemistry and Petrology;Applied Mathematics,0.168,0.128,31,19,21,0.0,40,28,28,0.0,30,53,27,3.33,Escuela Politecnica Nacional,0.6,0.4
"Revista Proyecto, Progreso, Arquitectura",journal,ARTS;ENGI;SOCI,Arts and Humanities (miscellaneous);Architecture;Visual Arts and Performing Arts;Urban Studies;History,0.624,0.162,24,27,20,16.67,21,36,21,19.05,8,25,8,25.0,"University of Sevilla, School of Architecture",0.3,0.4
"Revista de Direito, Estado e Telecomunicacoes",journal,ENGI;SOCI;COMP,Computer Networks and Communications;Law;Electrical and Electronic Engineering,0.281,0.141,15,39,8,0.0,24,37,17,0.0,12,43,12,0.0,Universidade de Brasilia,1.0,1.0
Revista de Educacion a Distancia,journal,ENGI;SOCI;COMP,Education;Computer Science Applications;Engineering (miscellaneous);Computer Science (miscellaneous),1.142,0.560,18,322,3,0.0,54,399,21,3.7,25,304,21,4.0,Universidad de Murcia,4.0,4.1
Revista de Obras Publicas,journal,ENGI,Civil and Structural Engineering,0.097,0.100,15,51,14,0.0,0,58,0,0.0,0,30,0,0.0,Colegio de Ingenieros de Caminos Canales y Puertos,0.0,0.0
Revista de la Construccion,journal,ENGI,Building and Construction;Civil and Structural Engineering,0.553,0.384,52,385,18,0.0,42,477,14,0.0,26,547,22,0.0,"Pontificia Universidad Catolica de Chile, Escuela de Construccion Civil",2.9,2.3
Revue Francaise de Photogrammetrie et de Teledetection,journal,ENGI;COMP,Computer Science Applications;Electrical and Electronic Engineering,0.458,0.235,7,54,3,0.0,3,64,2,0.0,3,54,3,0.0,Soc. Francaise de Photogrammetrie et de Teledetection,1.4,1.2
Revue Roumaine des Sciences Techniques Serie Electrotechnique et Energetique,journal,ENGI;ENER,Energy (all);Electrical and Electronic Engineering,0.623,0.261,78,248,41,0.0,71,328,52,0.0,62,228,58,0.0,Publishing House of the Romanian Academy,1.9,1.5
Rheologica Acta,journal,CENG;PHYS;ENGI;MATE,Condensed Matter Physics;Materials Science (all);Chemical Engineering (miscellaneous);Mechanics of Materials,0.884,0.446,66,5256,10,1.52,44,4976,9,4.55,51,4225,33,3.92,Springer Nature,4.7,4.6
Ri-Vista,journal,ENGI;SOCI;ENVI;ENER,"Architecture;Nature and Landscape Conservation;Renewable Energy, Sustainability and the Environment;Urban Studies;Management, Monitoring, Policy and Law",0.037,0.113,41,20,38,0.0,39,15,38,0.0,0,19,0,0.0,Firenze University Press,0.3,0.3
Risk Analysis,journal,ENGI;MEDI,"Physiology (medical);Safety, Risk, Reliability and Quality",1.228,0.840,196,14113,39,0.0,184,12900,29,0.0,250,12386,153,0.0,Wiley-Blackwell Publishing Ltd,7.0,7.5
Rita Revista Indexada de Textos Academicos,journal,ARTS;ENGI;SOCI,Architecture;Visual Arts and Performing Arts;Urban Studies,0.27,0.100,30,28,18,0.0,14,27,7,0.0,1,35,1,0.0,Cancha Editorial Spa,0.4,0.2
Rivista Italiana della Saldatura,journal,ENGI,Mechanical Engineering;Mechanics of Materials,0.035,0.118,7,10,5,0.0,1,12,0,0.0,0,12,0,0.0,Instituto Italiano della Saldatura,0.2,0.1
Road Materials and Pavement Design,journal,ENGI,Civil and Structural Engineering,1.5,1.071,172,6385,5,0.0,196,6535,27,0.0,236,6322,124,4.24,Taylor and Francis Ltd.,8.5,8.1
Roads and Bridges - Drogi i Mosty,journal,ENGI,Building and Construction;Civil and Structural Engineering,0.391,0.186,21,131,13,0.0,41,118,32,0.0,13,110,13,0.0,Instytut Badawczy Drog i Mostow,1.0,1.2
Robotic Intelligence and Automation,journal,ENGI;COMP,Artificial Intelligence;Industrial and Manufacturing Engineering;Computer Science Applications;Human-Computer Interaction;Electrical and Electronic Engineering;Control and Systems Engineering,0.733,0.555,70,1938,13,4.29,54,1823,11,5.56,66,1591,49,6.06,Emerald Publishing,3.9,4.7
Robotica,journal,MEDI;ENGI;MATH;COMP,Modeling and Simulation;Rehabilitation;Artificial Intelligence;Software;Mechanical Engineering;Computer Science Applications;Computer Vision and Pattern Recognition;Mathematics (all);Control and Systems Engineering;Computational Mechanics;Control and Optimization,0.925,0.579,230,3912,18,1.3,203,4073,45,2.46,179,3607,136,2.79,Cambridge University Press,4.4,4.5
Robotics,journal,ENGI;MATH;COMP,Mechanical Engineering;Control and Optimization;Artificial Intelligence,1.41,0.795,154,2327,14,7.14,169,3051,28,11.83,154,3116,101,8.44,Multidisciplinary Digital Publishing Institute (MDPI),6.7,6.7
Robotics and Autonomous Systems,journal,ENGI;MATH;COMP,Mathematics (all);Software;Control and Systems Engineering;Computer Science Applications,1.775,1.303,154,12580,4,0.0,189,13129,16,0.0,187,10807,106,0.0,Elsevier B.V.,8.4,9.0
Robotics and Computer-Integrated Manufacturing,journal,ENGI;MATH;COMP,Industrial and Manufacturing Engineering;Software;Control and Systems Engineering;Mathematics (all);Computer Science Applications,3.439,2.906,162,11437,2,6.17,139,13469,1,7.19,164,13588,29,7.32,Elsevier Ltd,21.4,24.1
Robotics: Science and Systems,conferenceproceeding,ENGI;COMP,Control and Systems Engineering;Artificial Intelligence;Electrical and Electronic Engineering,2.359,1.506,75,4319,4,0.0,0,5060,0,0.0,0,3610,0,0.0,MIT Press Journals,13.9,12.0
Rock Mechanics and Rock Engineering,journal,ENGI;EART,Geotechnical Engineering and Engineering Geology;Geology;Civil and Structural Engineering,1.999,1.902,422,22268,11,0.0,477,24436,43,0.0,670,26220,367,0.0,Springer-Verlag Wien,10.4,10.9
Romanian Journal of Acoustics and Vibration,journal,PHYS;ENGI,Acoustics and Ultrasonics;Mechanics of Materials,0.47,0.220,22,78,10,0.0,22,109,13,0.0,13,110,12,0.0,Romanian Society of Acoustics,1.3,1.0
Russian Aeronautics,journal,ENGI,Aerospace Engineering,0.174,0.122,101,259,77,0.99,111,264,106,0.0,54,157,54,0.0,Pleiades Publishing,0.3,0.4
Russian Electrical Engineering,journal,ENGI,Electrical and Electronic Engineering,0.878,0.245,142,596,96,0.0,156,729,121,0.0,80,272,80,0.0,Pleiades Publishing,0.9,1.5
Russian Engineering Research,journal,ENGI,Mechanical Engineering;Industrial and Manufacturing Engineering,0.689,0.262,342,911,247,0.0,338,932,276,0.0,264,624,261,0.0,Pleiades Publishing,1.1,1.2
Russian Journal of Biomechanics,journal,ENGI;BIOC;MATE,Biomedical Engineering;Biophysics;Computational Mechanics;Biomaterials,0.37,0.205,34,87,22,0.0,43,82,37,0.0,35,78,34,0.0,Perm National Research Polytechnic University,1.5,1.1
Russian Journal of Non-Ferrous Metals,journal,ENGI;MATE,"Metals and Alloys;Mechanics of Materials;Surfaces, Coatings and Films",0.467,0.210,77,861,22,1.3,9,759,8,0.0,0,700,0,0.0,Pleiades Publishing,2.1,1.9
Russian Journal of Nondestructive Testing,journal,PHYS;ENGI;MATE,Mechanics of Materials;Materials Science (all);Condensed Matter Physics;Mechanical Engineering,0.605,0.297,108,730,49,0.0,114,807,69,0.0,75,640,71,1.33,Pleiades Publishing,1.6,1.6
Russian Journal of Nonlinear Dynamics,journal,PHYS;ENGI;MATH,Modeling and Simulation;Statistical and Nonlinear Physics;Mechanical Engineering;Mathematical Physics;Control and Systems Engineering;Applied Mathematics,0.472,0.260,55,102,25,1.82,33,137,22,0.0,25,114,24,0.0,Institute of Computer Science Izhevsk,1.0,1.2
Russian Microelectronics,journal,PHYS;ENGI;MATE,"Electronic, Optical and Magnetic Materials;Materials Chemistry;Condensed Matter Physics;Electrical and Electronic Engineering",0.388,0.182,95,313,68,0.0,172,261,147,0.0,44,251,39,0.0,Pleiades Publishing,0.7,0.7
SAE International Journal of Advances and Current Practices in Mobility,journal,ENGI;COMP;ENER,Artificial Intelligence;Mechanical Engineering;Aerospace Engineering;Automotive Engineering;Fuel Technology,0,0.104,9,3,7,0.0,216,5,168,0.0,1,62,1,0.0,SAE International,0.3,0.1
SAE International Journal of Aerospace,journal,ENGI,Aerospace Engineering,0.29,0.136,24,377,12,4.17,25,338,16,0.0,6,272,5,0.0,SAE International,1.1,0.7
SAE International Journal of Commercial Vehicles,journal,ENGI,Automotive Engineering,0.548,0.234,26,506,6,0.0,18,531,8,0.0,12,446,10,0.0,SAE International,2.3,1.8
SAE International Journal of Connected and Automated Vehicles,journal,ENGI;COMP,Control and Systems Engineering;Computer Science Applications;Automotive Engineering;Artificial Intelligence,0.445,0.309,45,69,12,0.0,33,150,20,0.0,27,143,24,0.0,SAE International,2.1,2.1
SAE International Journal of Electrified Vehicles,journal,ENGI;ENER,Automotive Engineering;Fuel Technology,0.333,0.270,17,528,5,0.0,28,550,14,0.0,12,502,10,0.0,SAE International,2.4,1.4
SAE International Journal of Engines,journal,ENGI;ENER,Automotive Engineering;Fuel Technology,0.72,0.339,52,3420,19,1.92,48,3254,24,0.0,34,2139,28,2.94,SAE International,2.6,2.7
SAE International Journal of Materials and Manufacturing,journal,ENGI,Industrial and Manufacturing Engineering;Mechanical Engineering;Mechanics of Materials,0.323,0.220,28,607,13,0.0,22,654,15,0.0,24,579,19,0.0,SAE International,1.3,1.3
SAE International Journal of Passenger Vehicle Systems,journal,ENGI;MATH,"Modeling and Simulation;Mechanical Engineering;Automotive Engineering;Safety, Risk, Reliability and Quality",0.526,0.208,25,904,7,0.0,15,914,9,0.0,8,736,8,0.0,SAE International,2.0,1.3
SAE International Journal of Transportation Safety,journal,ENGI;SOCI,"Mechanical Engineering;Human Factors and Ergonomics;Safety Research;Safety, Risk, Reliability and Quality",0.819,0.291,21,169,9,0.0,26,177,20,0.0,5,164,5,0.0,SAE International,1.4,1.1
"SAE International Journal of Vehicle Dynamics, Stability, and NVH",journal,ENGI;MATH,Computational Mechanics;Mechanical Engineering;Automotive Engineering;Control and Optimization,2.204,0.854,31,224,1,0.0,28,549,3,0.0,28,625,20,0.0,SAE International,9.0,6.4
SAE Technical Papers,conferenceproceeding,ENGI;ENVI,"Pollution;Automotive Engineering;Industrial and Manufacturing Engineering;Safety, Risk, Reliability and Quality",0.356,0.207,1717,20760,1069,0.0,2030,19596,1481,0.0,1784,16635,1658,0.0,SAE International,1.0,1.0
SDHM Structural Durability and Health Monitoring,journal,ENGI,Building and Construction;Civil and Structural Engineering,0.579,0.304,21,230,5,4.76,30,233,19,6.67,43,254,36,9.3,Tech Science Press,2.2,2.4
SEI Technical Review,journal,ENGI,Electrical and Electronic Engineering,0.021,0.130,36,252,33,2.78,27,192,21,0.0,17,187,17,5.88,Sumitomo Electric Industries Ltd.,0.2,0.3
SEMA SIMAI Springer Series,bookseries,CENG;MATH;PHYS;ENGI;AGRI,Industrial and Manufacturing Engineering;Physics and Astronomy (miscellaneous);Agricultural and Biological Sciences (miscellaneous);Numerical Analysis;Computational Mathematics;Computational Mechanics;Applied Mathematics;Fluid Flow and Transfer Processes,1.021,0.191,65,199,41,0.0,21,221,15,0.0,112,213,109,0.0,Springer International Publishing AG,1.1,1.2
"SICE Journal of Control, Measurement, and System Integration",journal,ENGI;COMP,Control and Systems Engineering;Computer Science (all),0.613,0.208,31,67,10,0.0,37,93,21,0.0,34,99,28,0.0,Taylor and Francis Ltd.,1.3,1.2
SMPTE Motion Imaging Journal,journal,ENGI,Media Technology;Electrical and Electronic Engineering,0.381,0.195,93,242,66,2.15,88,299,72,4.55,41,211,41,26.83,Society of Motion and Television Engineers,0.5,0.6
SPE Drilling and Completion,journal,ENGI;ENER,Mechanical Engineering;Energy Engineering and Power Technology,0.887,0.513,28,3135,5,0.0,50,2522,7,0.0,0,2010,0,0.0,Society of Petroleum Engineers (SPE),4.6,4.2
SPE Polymers,journal,ENGI;MATE,Biomaterials;Engineering (miscellaneous);Materials Science (miscellaneous);Polymers and Plastics,1.264,0.499,17,107,2,0.0,15,216,1,6.67,58,276,34,15.52,John Wiley and Sons Inc,4.8,4.8
SPIN,journal,PHYS;ENGI;MATE,"Electronic, Optical and Magnetic Materials;Atomic and Molecular Physics, and Optics;Electrical and Electronic Engineering",0.48,0.233,36,352,14,0.0,47,371,25,2.13,40,358,34,2.5,World Scientific,1.7,2.1
SSRG International Journal of Electrical and Electronics Engineering,journal,ENGI;ENER,Energy Engineering and Power Technology;Electrical and Electronic Engineering,0.473,0.168,55,50,13,3.64,217,260,128,0.92,228,134,221,5.26,Seventh Sense Research Group,0.9,1.1
SWE Magazine,tradejournal,ENGI,Engineering (all),0,0.101,0,6,0,0.0,22,5,20,4.55,17,3,17,5.88,Society of Women Engineers,0.1,0.0
Safety,journal,ENGI;SOCI;MEDI,"Public Health, Environmental and Occupational Health;Safety Research;Safety, Risk, Reliability and Quality",0.837,0.441,84,679,13,5.95,91,913,35,12.09,82,1031,62,7.32,Multidisciplinary Digital Publishing Institute (MDPI),3.4,3.2
Safety Science,journal,ENGI;SOCI;MEDI,"Public Health, Environmental and Occupational Health;Safety Research;Safety, Risk, Reliability and Quality",2.091,1.282,325,25030,5,8.62,325,24361,23,8.62,243,23474,126,9.05,Elsevier B.V.,11.4,13.0
Safety and Health at Work,journal,CENG;ENGI;SOCI;MEDI,"Public Health, Environmental and Occupational Health;Safety Research;Chemical Health and Safety;Safety, Risk, Reliability and Quality",1.332,0.744,75,2580,12,4.0,63,2595,18,15.87,65,2427,52,7.69,Elsevier B.V.,5.5,6.4
Safety and Reliability,journal,ENGI;SOCI,"Safety Research;Safety, Risk, Reliability and Quality",0.516,0.245,13,28,8,0.0,11,32,8,0.0,11,52,10,0.0,Taylor and Francis Ltd.,2.2,2.2
"Salud, Ciencia y Tecnologia",journal,MEDI;HEAL;NURS;MULT;ENGI,Health Professions  (miscellaneous);Reviews and References (medical);Multidisciplinary;Nurse Assisting;Engineering (miscellaneous);Nursing (miscellaneous),0.35,0.128,171,152,84,19.3,285,510,178,17.89,414,219,372,25.36,AG Editor (Argentina),1.0,1.3
Satellite Navigation,journal,ENGI;COMP,Signal Processing;Aerospace Engineering;Electrical and Electronic Engineering,3.815,2.363,28,745,0,10.71,30,960,0,13.33,29,1088,17,6.9,Springer,15.9,19.4
